,date,total_population,total_doses_administered,total_individuals_at_least_one,total_individuals_fully_vaccinated,total_individuals_3doses,previous_day_total_doses_administered,previous_day_at_least_one,previous_day_fully_vaccinated,previous_day_3doses,active_cases,deaths,resolved_cases,percent_at_least_one,percent_fully_vaccinated,percent_3doses,active_cases_per100k,deaths_per100k,resolved_cases_per100k
417,2022-02-19,14010998,31467215,12547921.0,11955214.0,6847871.0,42927.0,3550.0,10422.0,26822.0,22024,11777,1051717,89.55765320928602,85.32735498213617,48.87496950609799,157.1908011120978,84.05539705308644,7506.367497875598
418,2022-02-20,14010998,31500915,12549891.0,11963565.0,6870782.0,33700.0,1970.0,8351.0,22911.0,21302,11794,1054388,89.57171359242219,85.38695815958293,49.03849104824653,152.03770637894604,84.17673030857617,7525.4310934881305
419,2022-02-21,14010998,31518824,12551068.0,11967433.0,6883434.0,17909.0,1177.0,3868.0,12652.0,20708,11808,1056303,89.58011413605227,85.41456504383198,49.12879153933217,147.79817968712862,84.2766518130971,7539.098927856531
420,2022-02-22,14010998,31528557,12551772.0,11969223.0,6890455.0,9733.0,704.0,1790.0,7021.0,19984,11814,1058303,89.5851387602796,85.42734072191003,49.17890217384943,142.630810453331,84.31947531503465,7553.37342850238
421,2022-02-23,14010998,31559024,12554685.0,11976167.0,6908768.0,30467.0,2913.0,6944.0,18313.0,18690,11829,1061007,89.6059295704703,85.47690178815243,49.309606639013154,133.39520853546622,84.42653406987853,7572.67255337557
422,2022-02-24,14010998,31588850,12557712.0,11983625.0,6925565.0,29826.0,3027.0,7458.0,16797.0,18449,11868,1063613,89.62753402719777,85.5301314010608,49.429491032687324,131.6751312076413,84.7048868324726,7591.272227717112
423,2022-02-25,14010998,31616302,12560533.0,11990650.0,6940931.0,27452.0,2821.0,7025.0,15366.0,18410,11906,1066041,89.64766821035875,85.58027058457934,49.53916202114939,131.39677844504723,84.97610234474375,7608.601471501173
424,2022-02-26,14010998,31645374,12563214.0,11998022.0,6958202.0,29072.0,2681.0,7372.0,17271.0,18561,11939,1068195,89.66680317847451,85.63288639395994,49.66242947147662,132.4745032438089,85.21163160540027,7623.9751086967535
425,2022-02-27,14010998,31673271,12564972.0,12005680.0,6975914.0,27897.0,1758.0,7658.0,17712.0,18471,11948,1070277,89.67935046454221,85.6875434569329,49.78884444919627,131.83215071474567,85.2758668583066,7638.834863869083
426,2022-02-28,14010998,31684081,12565872.0,12008467.0,6982736.0,10810.0,900.0,2787.0,6822.0,18178,11951,1071882,89.68577398983284,85.70743497358289,49.83753477089926,129.74093637012865,85.29727860927537,7650.290150637377
427,2022-03-01,14010998,31700519,12567874.0,12012948.0,6991462.0,16438.0,2002.0,4481.0,8726.0,17455,11968,1073764,89.70006276497934,85.73941699227993,49.8998144172171,124.58070438665398,85.41861186476508,7663.722455745123
428,2022-03-02,14010998,31719533,12570198.0,12017957.0,7001774.0,19014.0,2324.0,5009.0,10312.0,16976,11994,1076176,89.71664973472981,85.77516747914746,49.97341374254711,121.16196148197295,85.60418037316114,7680.937503524017
429,2022-03-03,14010998,31736824,12572338.0,12022492.0,7011155.0,17291.0,2140.0,4535.0,9381.0,16926,12013,1078469,89.73192345042088,85.80753490936192,50.04036828782647,120.8050989658267,85.73978812929671,7697.303218514484
430,2022-03-04,14010998,31753871,12574205.0,12027179.0,7020008.0,17047.0,1867.0,4687.0,8853.0,16904,12041,1080548,89.74524869677379,85.84098720162547,50.10355436493532,120.64807945872235,85.93963113833861,7712.141561935845
431,2022-03-05,14010998,31773683,12576109.0,12032707.0,7031101.0,19812.0,1904.0,5528.0,11093.0,16873,12062,1082488,89.75883802138863,85.8804419214106,50.18272788276752,120.42682469871168,86.08951339512004,7725.98782756232
432,2022-03-06,14010998,31791237,12577457.0,12038611.0,7041051.0,17554.0,1348.0,5904.0,9950.0,16994,12082,1084134,89.76845903482393,85.92258024731714,50.25374352348062,121.29043198778558,86.23225840157853,7737.735741593854
433,2022-03-07,14010998,31797518,12578076.0,12040581.0,7044574.0,6281.0,619.0,1970.0,3523.0,16699,12086,1085499,89.77287699277382,85.93664063045331,50.27888805636829,119.18494314252276,86.26080740287023,7747.478088284645
434,2022-03-08,14010998,31807255,12579381.0,12043537.0,7049247.0,9737.0,1305.0,2956.0,4673.0,16237,12102,1087153,89.78219110444525,85.95773834240788,50.31224042712732,115.88753349333146,86.37500340803703,7759.283100318765
435,2022-03-09,14010998,31821019,12581021.0,12047319.0,7056289.0,13764.0,1640.0,3782.0,7042.0,16206,12129,1089104,89.79389619497483,85.98473142312916,50.36250094390135,115.6662787333208,86.56770916675599,7773.20787569879
436,2022-03-10,14010998,31835724,12582711.0,12051391.0,7063511.0,14705.0,1690.0,4072.0,7222.0,15950,12149,1091465,89.80595814802058,86.01379430644413,50.41404616573352,113.83914265065201,86.7104541732145,7790.058923711215
437,2022-03-11,14010998,31850821,12584261.0,12055691.0,7070825.0,15097.0,1550.0,4300.0,7314.0,15968,12227,1093499,89.81702088602111,86.0444844828327,50.466248014595394,113.96761315646467,87.26715969840265,7804.576090868046
438,2022-03-12,14010998,31867050,12585861.0,12060541.0,7079357.0,16229.0,1600.0,4850.0,8532.0,16241,12247,1095221,89.82844048653779,86.0791001468989,50.52714303435059,115.91608249462315,87.40990470486113,7816.866435924122
439,2022-03-13,14010998,31882192,12587112.0,12065628.0,7087735.0,15142.0,1251.0,5087.0,8378.0,16228,12256,1096856,89.83736918669177,86.11540733929161,50.586938917556054,115.82329824042512,87.47413995776746,7828.535840202104
