date,phu_name,at_least_one_dose_cumulative,fully_vaccinated_cumulative,third_dose_cumulative,total_population,percent_at_least_one_dose,percent_fully_vaccinated,percent_3doses,phu_num,active_cases,resolved_cases,deaths,archived_resolved_cases,archived_deaths,percent_active_cases,percent_deaths,percent_resolved_cases
2022-01-06,CITY OF OTTAWA,905724.0,835387.0,367642.0,992312,91.27,84.19,37.05,2251,9089,37889,610,37873.0,626.0,0.9159417602528237,0.06147260135924991,3.8182547424600326
2022-01-06,PEEL REGION,1292880.0,1213776.0,322806.0,1481534,87.27000000000001,81.93,21.790000000000003,2253,14968,123408,998,123377.0,1029.0,1.0103041847166518,0.06736261199540476,8.32974471055001
2022-01-06,PETERBOROUGH COUNTY-CITY,121922.0,114599.0,53079.0,141576,86.11999999999999,80.95,37.49,2255,1024,2552,29,2551.0,30.0,0.7232864327287111,0.020483697801887326,1.8025654065660848
2022-01-06,PORCUPINE,69271.0,63405.0,25066.0,80737,85.8,78.53,31.05,2256,865,2465,31,2465.0,31.0,1.0713799125555816,0.0383962743228012,3.053123103409837
2022-01-06,RENFREW COUNTY AND DISTRICT,84434.0,78961.0,27797.0,103045,81.94,76.63,26.979999999999997,2257,670,1184,16,1184.0,16.0,0.6502013683342229,0.015527196855742637,1.1490125673249552
2022-01-06,EASTERN ONTARIO,177103.0,164767.0,57255.0,205075,86.36,80.34,27.92,2258,2545,6785,126,6769.0,142.0,1.2410093868097039,0.06144093624283799,3.3085456540290137
2022-01-06,SIMCOE MUSKOKA DISTRICT,489788.0,459114.0,174788.0,575014,85.18,79.84,30.4,2260,5113,18981,277,18970.0,288.0,0.8891957413210808,0.04817274014197915,3.300963106985221
2022-01-06,SUDBURY AND DISTRICT,170428.0,158688.0,63508.0,196072,86.92,80.93,32.39,2261,1462,4745,54,4745.0,54.0,0.7456444571381942,0.027540903341629605,2.4200293769635643
2022-01-06,THUNDER BAY DISTRICT,130823.0,121545.0,42202.0,149989,87.22,81.04,28.139999999999997,2262,606,4009,72,4009.0,72.0,0.40402962883944826,0.048003520258152264,2.6728626765962837
2022-01-06,TIMISKAMING,26999.0,25087.0,12439.0,32164,83.94,78.0,38.67,2263,219,523,3,521.0,5.0,0.680885462007213,0.00932719810968785,1.6260415371222483
2022-01-06,WATERLOO REGION,498981.0,465257.0,177568.0,573162,87.06,81.17,30.98,2265,4936,23842,317,23842.0,317.0,0.8611875874534599,0.05530722553135065,4.1597314546323725
2022-01-06,WELLINGTON-DUFFERIN-GUELPH,257729.0,240679.0,97688.0,295016,87.36,81.58,33.11,2266,2740,11270,124,11266.0,128.0,0.92876318572552,0.042031618624074625,3.8201317894622666
2022-01-06,WINDSOR-ESSEX COUNTY,347919.0,326100.0,132278.0,410271,84.8,79.47999999999999,32.24,2268,2907,24183,497,24174.0,506.0,0.7085560519754016,0.12113944197859464,5.894396630519827
2022-01-06,YORK REGION,996787.0,932010.0,342585.0,1143703,87.15,81.49,29.95,2270,11851,66320,830,66285.0,865.0,1.0361955857421026,0.07257128817533923,5.798708231070479
2022-01-06,TORONTO,2505326.0,2353034.0,861048.0,2851090,87.87,82.53,30.2,3895,33572,194614,3590,194487.0,3717.0,1.177514564605116,0.12591675464471483,6.825950776720482
2022-01-06,SOUTHWESTERN,167809.0,157522.0,53601.0,206207,81.38,76.39,25.990000000000002,4913,1245,6565,114,6563.0,116.0,0.6037622389152648,0.055284253201879664,3.183694055002982
2022-01-06,HURON PERTH,115994.0,109288.0,47375.0,137903,84.11,79.25,34.35,5183,876,3058,76,3058.0,76.0,0.6352291103166718,0.05511120135167473,2.2175007070187016
2022-01-07,ALGOMA DISTRICT,97718.0,90836.0,41049.0,112839,86.6,80.5,36.38,2226,642,1796,20,1796.0,20.0,0.5689522239651185,0.017724368347823004,1.5916482776345058
2022-01-07,BRANT COUNTY,123178.0,115314.0,42991.0,144945,84.98,79.56,29.659999999999997,2227,1426,5824,41,5824.0,41.0,0.9838214495153335,0.028286591465728383,4.018075821863466
2022-01-07,DURHAM REGION,595804.0,556782.0,195316.0,671727,88.7,82.89,29.080000000000002,2230,6468,32389,393,32388.0,394.0,0.9628911745396568,0.058505910883439254,4.821750502808433
2022-01-07,GREY BRUCE,134511.0,127017.0,58386.0,167078,80.51,76.02,34.949999999999996,2233,843,3452,34,3452.0,34.0,0.5045547588551456,0.020349776750978585,2.0661008630699436
2022-01-07,HALDIMAND-NORFOLK,91919.0,86903.0,33967.0,114141,80.53,76.14,29.759999999999998,2234,887,4058,66,4051.0,73.0,0.7771090142893439,0.05782321865061634,3.555251837639411
2022-01-07,"HALIBURTON, KAWARTHA, PINE RIDGE",157103.0,148306.0,65660.0,183151,85.78,80.97,35.85,2235,1236,3087,62,3083.0,66.0,0.6748529901556639,0.03385184902075337,1.685494482694607
2022-01-07,HALTON REGION,519260.0,480829.0,171504.0,579551,89.60000000000001,82.97,29.59,2236,6237,24812,228,24794.0,246.0,1.0761779377483605,0.0393408000331291,4.281245308868417
2022-01-07,CITY OF HAMILTON,471838.0,442664.0,176283.0,552042,85.47,80.19,31.929999999999996,2237,6478,29966,419,29958.0,427.0,1.1734614395281517,0.07590002209976777,5.428210172414418
2022-01-07,HASTINGS & PRINCE EDWARD COUNTIES,138347.0,129082.0,62296.0,164832,83.93,78.31,37.79,2238,1544,2836,22,2836.0,22.0,0.9367113181906426,0.013346922927586876,1.7205397010289263
2022-01-07,CHATHAM-KENT,84596.0,79555.0,37885.0,101565,83.28999999999999,78.33,37.3,2240,699,3598,38,3596.0,40.0,0.6882292128193768,0.037414463643971836,3.542558952395018
2022-01-07,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",183427.0,169001.0,98072.0,200252,91.60000000000001,84.39,48.97,2241,1795,5491,23,5491.0,23.0,0.8963705730779219,0.011485528234424624,2.7420450232706792
